Name;ID;Description;SP
HP +5;SID_ＨＰ＋５_継承用;Grants max HP+5.;300
HP +7;SID_ＨＰ＋７_継承用;Grants max HP+7.;500
HP +10;SID_ＨＰ＋１０_継承用;Grants max HP+10.;1000
HP +12;SID_ＨＰ＋１２_継承用;Grants max HP+12.;2000
HP +15;SID_ＨＰ＋１５_継承用;Grants max HP+15.;3000
Strength +1;SID_力＋１_継承用;Grants Str+1.;500
Strength +2;SID_力＋２_継承用;Grants Str+2.;1000
Strength +3;SID_力＋３_継承用;Grants Str+3.;3000
Strength +4;SID_力＋４_継承用;Grants Str+4.;4000
Strength +5;SID_力＋５_継承用;Grants Str+5.;5000
Strength +6;SID_力＋６_継承用;Grants Str+6.;6000
Dexterity +1;SID_技＋１_継承用;Grants Dex+1.;100
Dexterity +2;SID_技＋２_継承用;Grants Dex+2.;300
Dexterity +3;SID_技＋３_継承用;Grants Dex+3.;500
Dexterity +4;SID_技＋４_継承用;Grants Dex+4.;1000
Dexterity +5;SID_技＋５_継承用;Grants Dex+5.;2000
Speed +1;SID_速さ＋１_継承用;Grants Spd+1.;100
Speed +2;SID_速さ＋２_継承用;Grants Spd+2.;300
Speed +3;SID_速さ＋３_継承用;Grants Spd+3.;500
Speed +4;SID_速さ＋４_継承用;Grants Spd+4.;1000
Speed +5;SID_速さ＋５_継承用;Grants Spd+5.;2000
Luck +2;SID_幸運＋２_継承用;Grants Lck+2.;100
Luck +4;SID_幸運＋４_継承用;Grants Lck+4.;300
Luck +6;SID_幸運＋６_継承用;Grants Lck+6.;500
Luck +8;SID_幸運＋８_継承用;Grants Lck+8.;1000
Luck +10;SID_幸運＋１０_継承用;Grants Lck+10.;2000
Luck +12;SID_幸運＋１２_継承用;Grants Lck+12.;3000
Defense +1;SID_守備＋１_継承用;Grants Def+1.;100
Defense +2;SID_守備＋２_継承用;Grants Def+2.;300
Defense +3;SID_守備＋３_継承用;Grants Def+3.;500
Defense +4;SID_守備＋４_継承用;Grants Def+4.;1000
Defense +5;SID_守備＋５_継承用;Grants Def+5.;2000
Magic +2;SID_魔力＋２_継承用;Grants Mag+2.;1000
Magic +3;SID_魔力＋３_継承用;Grants Mag+3.;3000
Magic +4;SID_魔力＋４_継承用;Grants Mag+4.;4000
Magic +5;SID_魔力＋５_継承用;Grants Mag+5.;5000
Resistance +2;SID_魔防＋２_継承用;Grants Res+2.;300
Resistance +3;SID_魔防＋３_継承用;Grants Res+3.;500
Resistance +4;SID_魔防＋４_継承用;Grants Res+4.;1000
Resistance +5;SID_魔防＋５_継承用;Grants Res+5.;2000
Build +3;SID_体格＋３_継承用;Grants Bld+3.;500
Build +4;SID_体格＋４_継承用;Grants Bld+4.;1000
Build +5;SID_体格＋５_継承用;Grants Bld+5.;2000
Movement +1;SID_移動＋１_継承用;Grants Mov+1.;0
Poison Strike;SID_蛇毒;If unit initiates combat, deals damage to foe equal to 20% of their max HP after combat.;0
Savage Blow;SID_死の吐息;If unit initiates combat, deals damage to foes within 2 spaces equal to 20% of their max HP after combat.;0
Swordbreaker;SID_剣殺し;If unit's HP is 50% or higher at start of combat and foe has a sword equipped, unit can follow up and foe cannot follow up.;0
Lancebreaker;SID_槍殺し;If unit's HP is 50% or higher at start of combat and foe has a lance equipped, unit can follow up and foe cannot follow up.;0
Axebreaker;SID_斧殺し;If unit's HP is 50% or higher at start of combat and foe has an axe equipped, unit can follow up and foe cannot follow up.;0
Tomebreaker;SID_魔殺し;If unit's HP is 50% or higher at start of combat and foe has a tome equipped, unit can follow up and foe cannot follow up.;0
Bowbreaker;SID_弓殺し;If unit's HP is 50% or higher at start of combat and foe has a bow equipped, unit can follow up and foe cannot follow up.;0
Knifebreaker;SID_短刀殺し;If unit's HP is 50% or higher at start of combat and foe has a knife equipped, unit can follow up and foe cannot follow up.;0
Artbreaker;SID_気功殺し;If unit's HP is 50% or higher at start of combat and foe has an art equipped, unit can follow up and foe cannot follow up.;0
Seal Strength;SID_力封じ;If unit initiates combat, inflicts Str-6 on foe after combat. (Penalty shrinks by 1 each turn.);0
Seal Magic;SID_魔力封じ;If unit initiates combat, inflicts Mag-6 on foe after combat. (Penalty shrinks by 1 each turn.);0
Seal Defense;SID_守備封じ;If unit initiates combat, inflicts Def-6 on foe after combat. (Penalty shrinks by 1 each turn.);0
Seal Speed;SID_速さ封じ;If unit initiates combat, inflicts Spd-6 on foe after combat. (Penalty shrinks by 1 each turn.);0
Seal Resistance;SID_魔防封じ;If unit initiates combat, inflicts Res-6 on foe after combat. (Penalty shrinks by 1 each turn.);0
Fierce Stance;SID_鬼神の構え;If foe initiates combat, grants Str+6 during combat.;0
Steady Stance;SID_金剛の構え;If foe initiates combat, grants Def+6 during combat.;0
Darting Stance;SID_飛燕の構え;If foe initiates combat, grants Spd+6 during combat.;0
Warding Stance;SID_明鏡の構え;If foe initiates combat, grants Res+6 during combat.;0
Life and Death;SID_死線;Unit deals +10 damage and takes +10 damage during combat.;0
Triangle Adept;SID_相性激化;When unit has weapon advantage, always follows up. When unit has disadvantage, foe always follows up.;0
Cornered Beast;SID_噛描;If unit's HP is 50% or less at start of combat, grants Crit+30 during combat.;0
Self-Destruct;SID_自壊;If unit's HP is 50% or less at the start of player phase, unit dies and deals 50% of its max HP to foes within 2 spaces.;0
Duelist's Blow;SID_清流の一撃;When unit initiates combat, grants Avo+30 during combat.;0
Darting Blow;SID_飛燕の一撃;When unit initiates combat, grants Spd+5 during combat.;0
Death Blow;SID_鬼神の一撃;When unit initiates combat, grants Crit+20 during combat.;0
Certain Blow;SID_凶鳥の一撃;When unit initiates combat, grants Hit+40 during combat.;0
Armored Blow;SID_金剛の一撃;When unit initiates combat, unit takes 10 less physical damage during combat.;0
Warding Blow;SID_明鏡の一撃;When unit initiates combat, unit takes 20 less magical damage during combat.;0
Spirit Strike;SID_狂乱の一撃;When unit hits with an attack, inflicts -5 to foe's engage meter.;0
Unbreakable;SID_ブレイク無効;Prevents unit from being broken.;0
Stalwart;SID_特効耐性;Reduces damage from effectiveness.;0
Unwavering;SID_特効無効;Negates damage from effectiveness.;0
Anchor;SID_不動;Unit cannot be moved by skills, smash weapons, etc.;0
Veteran;SID_熟練者;Prevents unit from being broken. Reduces damage from effectiveness.;0
Veteran+;SID_熟練者＋;Prevents unit from being broken. Negates damage from effectiveness.;0
Void Curse;SID_虚無の呪い;Foes do not earn EXP fighting this unit.;0
Fell Barrier;SID_バリア１;A barrier created by Dark Emblems. Nullifies Effective: Fell Dragon and prevents 50% of damage to unit.;0
Fell Barrier+;SID_バリア２;A barrier created by Dark Emblems. Nullifies Effective: Fell Dragon and prevents 70% of damage to unit.;0
Fell Barrier++;SID_バリア３;A barrier created by Dark Emblems. Nullifies Effective: Fell Dragon and prevents 85% of damage to unit.;0
Fell Barrier+++;SID_バリア４;A barrier created by Dark Emblems. Nullifies Effective: Fell Dragon and prevents all damage to unit.;0
Dark Barrier;SID_バリア１_ノーマル用;A barrier created by Dark Emblems. Prevents 20% of damage to unit.;0
Dark Barrier+;SID_バリア２_ノーマル用;A barrier created by Dark Emblems. Prevents 40% of damage to unit.;0
Dark Barrier++;SID_バリア３_ノーマル用;A barrier created by Dark Emblems. Prevents 60% of damage to unit.;0
Dark Barrier+++;SID_バリア４_ノーマル用;A barrier created by Dark Emblems. Prevents 80% of damage to unit.;0
Bond Breaker;SID_チェインアタック威力軽減;Makes enemy chain attack accuracy always 30%. Reduces damage taken.;0
Avoid +10;SID_回避＋１０;Grants Avo+10.;500
Avoid +15;SID_回避＋１５;Grants Avo+15.;1500
Avoid +20;SID_回避＋２０;Grants Avo+20.;2500
Avoid +25;SID_回避＋２５;Grants Avo+25.;3500
Avoid +30;SID_回避＋３０;Grants Avo+30.;4500
Hit +10;SID_命中＋１０;Grants Hit+10.;500
Hit +15;SID_命中＋１５;Grants Hit+15.;1000
Hit +20;SID_命中＋２０;Grants Hit+20.;1500
Hit +25;SID_命中＋２５;Grants Hit+25.;2000
Hit +30;SID_命中＋３０;Grants Hit+30.;2500
Dodge +10;SID_必殺回避＋１０;Grants Ddg+10.;500
Dodge +15;SID_必殺回避＋１５;Grants Ddg+15.;1000
Dodge +20;SID_必殺回避＋２０;Grants Ddg+20.;1500
Dodge +25;SID_必殺回避＋２５;Grants Ddg+25.;2000
Dodge +30;SID_必殺回避＋３０;Grants Ddg+30.;2500
Sword Agility 1;SID_剣術・柔１;Grants Avo+10 at a cost of Crit-10 when using a sword.;500
Sword Agility 2;SID_剣術・柔２;Grants Avo+15 at a cost of Crit-10 when using a sword.;1000
Sword Agility 3;SID_剣術・柔３;Grants Avo+20 at a cost of Crit-10 when using a sword.;2000
Sword Agility 4;SID_剣術・柔４;Grants Avo+25 at a cost of Crit-10 when using a sword.;3000
Sword Agility 5;SID_剣術・柔５;Grants Avo+30 at a cost of Crit-10 when using a sword.;4000
Sword Power 1;SID_剣術・剛１;Grants Atk+2 at a cost of Avo-10 when using a sword.;1000
Sword Power 2;SID_剣術・剛２;Grants Atk+4 at a cost of Avo-10 when using a sword.;2000
Sword Power 3;SID_剣術・剛３;Grants Atk+6 at a cost of Avo-10 when using a sword.;3000
Sword Power 4;SID_剣術・剛４;Grants Atk+8 at a cost of Avo-10 when using a sword.;4000
Sword Power 5;SID_剣術・剛５;Grants Atk+10 at a cost of Avo-10 when using a sword.;5000
Sword Focus 1;SID_剣術・心１;Grants Hit+10 at a cost of Ddg-10 when using a sword.;100
Sword Focus 2;SID_剣術・心２;Grants Hit+15 at a cost of Ddg-10 when using a sword.;300
Sword Focus 3;SID_剣術・心３;Grants Hit+20 at a cost of Ddg-10 when using a sword.;500
Sword Focus 4;SID_剣術・心４;Grants Hit+25 at a cost of Ddg-10 when using a sword.;700
Sword Focus 5;SID_剣術・心５;Grants Hit+30 at a cost of Ddg-10 when using a sword.;1000
Lance Agility 1;SID_槍術・柔１;Grants Avo+10 at a cost of Crit-10 when using a lance.;500
Lance Agility 2;SID_槍術・柔２;Grants Avo+15 at a cost of Crit-10 when using a lance.;1000
Lance Agility 3;SID_槍術・柔３;Grants Avo+20 at a cost of Crit-10 when using a lance.;2000
Lance Agility 4;SID_槍術・柔４;Grants Avo+25 at a cost of Crit-10 when using a lance.;3000
Lance Agility 5;SID_槍術・柔５;Grants Avo+30 at a cost of Crit-10 when using a lance.;4000
Lance Power 1;SID_槍術・剛１;Grants Atk+2 at a cost of Avo-10 when using a lance.;1000
Lance Power 2;SID_槍術・剛２;Grants Atk+4 at a cost of Avo-10 when using a lance.;2000
Lance Power 3;SID_槍術・剛３;Grants Atk+6 at a cost of Avo-10 when using a lance.;3000
Lance Power 4;SID_槍術・剛４;Grants Atk+8 at a cost of Avo-10 when using a lance.;4000
Lance Power 5;SID_槍術・剛５;Grants Atk+10 at a cost of Avo-10 when using a lance.;5000
Axe Power 1;SID_斧術・剛１;Grants Atk+2 at a cost of Avo-10 when using an axe.;1000
Axe Power 2;SID_斧術・剛２;Grants Atk+4 at a cost of Avo-10 when using an axe.;2000
Axe Power 3;SID_斧術・剛３;Grants Atk+6 at a cost of Avo-10 when using an axe.;3000
Axe Power 4;SID_斧術・剛４;Grants Atk+8 at a cost of Avo-10 when using an axe.;4000
Axe Power 5;SID_斧術・剛５;Grants Atk+10 at a cost of Avo-10 when using an axe.;5000
Bow Agility 1;SID_弓術・柔１;Grants Avo+10 at a cost of Crit-10 when using a bow.;500
Bow Agility 2;SID_弓術・柔２;Grants Avo+15 at a cost of Crit-10 when using a bow.;1000
Bow Agility 3;SID_弓術・柔３;Grants Avo+20 at a cost of Crit-10 when using a bow.;2000
Bow Agility 4;SID_弓術・柔４;Grants Avo+25 at a cost of Crit-10 when using a bow.;3000
Bow Agility 5;SID_弓術・柔５;Grants Avo+30 at a cost of Crit-10 when using a bow.;4000
Bow Focus 1;SID_弓術・心１;Grants Hit+10 at a cost of Ddg-10 when using a bow.;100
Bow Focus 2;SID_弓術・心２;Grants Hit+15 at a cost of Ddg-10 when using a bow.;300
Bow Focus 3;SID_弓術・心３;Grants Hit+20 at a cost of Ddg-10 when using a bow.;500
Bow Focus 4;SID_弓術・心４;Grants Hit+25 at a cost of Ddg-10 when using a bow.;700
Bow Focus 5;SID_弓術・心５;Grants Hit+30 at a cost of Ddg-10 when using a bow.;1000
Art Focus 1;SID_体術・心１;Grants Hit+10 at a cost of Ddg-10 when using an art.;100
Art Focus 2;SID_体術・心２;Grants Hit+15 at a cost of Ddg-10 when using an art.;300
Art Focus 3;SID_体術・心３;Grants Hit+20 at a cost of Ddg-10 when using an art.;500
Art Focus 4;SID_体術・心４;Grants Hit+25 at a cost of Ddg-10 when using an art.;700
Art Focus 5;SID_体術・心５;Grants Hit+30 at a cost of Ddg-10 when using an art.;1000
Knife Precision 1;SID_短剣術１;Grants Hit/Avo+3 when using a knife.;100
Knife Precision 2;SID_短剣術２;Grants Hit/Avo+5 when using a knife.;300
Knife Precision 3;SID_短剣術３;Grants Hit/Avo+7 when using a knife.;700
Knife Precision 4;SID_短剣術４;Grants Hit/Avo+10 when using a knife.;1000
Knife Precision 5;SID_短剣術５;Grants Hit/Avo+15 when using a knife.;2000
Tome Precision 1;SID_魔道１;Grants Hit/Avo+3 when using a tome.;100
Tome Precision 2;SID_魔道２;Grants Hit/Avo+5 when using a tome.;300
Tome Precision 3;SID_魔道３;Grants Hit/Avo+7 when using a tome.;700
Tome Precision 4;SID_魔道４;Grants Hit/Avo+10 when using a tome.;1000
Tome Precision 5;SID_魔道５;Grants Hit/Avo+15 when using a tome.;2000
Staff Mastery 1;SID_信仰１;Grants Hit+10 when using a staff. Staves also heal an additional 3 HP.;100
Staff Mastery 2;SID_信仰２;Grants Hit+15 when using a staff. Staves also heal an additional 5 HP.;300
Staff Mastery 3;SID_信仰３;Grants Hit+20 when using a staff. Staves also heal an additional 7 HP.;500
Staff Mastery 4;SID_信仰４;Grants Hit+25 when using a staff. Staves also heal an additional 10 HP.;700
Staff Mastery 5;SID_信仰５;Grants Hit+30 when using a staff. Staves also heal an additional 15 HP.;1000
Staff Mastery 1;SID_妨害杖命中＋１０;Grants Hit+10 when using a staff. Staves also heal an additional 3 HP.;0
Staff Mastery 2;SID_妨害杖命中＋１５;Grants Hit+15 when using a staff. Staves also heal an additional 5 HP.;0
Staff Mastery 3;SID_妨害杖命中＋２０;Grants Hit+20 when using a staff. Staves also heal an additional 7 HP.;0
Staff Mastery 4;SID_妨害杖命中＋２５;Grants Hit+25 when using a staff. Staves also heal an additional 10 HP.;0
Staff Mastery 5;SID_妨害杖命中＋３０;Grants Hit+30 when using a staff. Staves also heal an additional 15 HP.;0
Perceptive;SID_見切り;If the unit initiates combat, grants Avo+15 during combat. Avo increases with high Spd.;250
Perceptive+;SID_見切り＋;If the unit initiates combat, grants Avo+30 during combat. Avo increases with high Spd.;500
Break Defenses;SID_ブレイク時追撃;If unit's attack breaks foe, unit makes an extra attack at 50% damage.;2000
Unyielding;SID_不屈;At start of player phase, if HP is 20% or less, restores 20% of unit's max HP.;100
Unyielding+;SID_不屈＋;At start of player phase, if HP is 30% or less, restores 30% of unit's max HP.;200
Unyielding++;SID_不屈＋＋;At start of player phase, if HP is 40% or less, restores 40% of unit's max HP.;300
Divine Speed;SID_カウンター;Unit performs an extra attack at 50% damage in combat.;0
Divine Speed;SID_カウンター_隠密;Unit performs an extra attack at 50% damage in combat. [Covert] If extra attack hits, poisons foe.;0
Divine Speed;SID_カウンター_竜族;Unit performs an extra attack at 50% damage in combat. [Dragon] Unit recovers HP equal to damage dealt by extra attack.;0
Lodestar Rush;SID_マルスエンゲージ技;Use to launch 7 consecutive sword attacks at 30% damage. Adjacent foe only.;0
Lodestar Rush;SID_マルスエンゲージ技_竜族;Use to launch 7 consecutive sword attacks at 30% damage. Adjacent foe only. [Dragon] +2 attacks.;0
Lodestar Rush;SID_マルスエンゲージ技_連携;Use to launch 7 consecutive sword attacks at 30% damage. Adjacent foe only. [Backup] +1 attack.;0
Lodestar Rush;SID_マルスエンゲージ技_魔法;Use to launch 7 consecutive sword attacks at 30% damage. Adjacent foe only. [Mystical] Damage based on Mag.;0
Canter;SID_再移動;Unit can move 2 spaces after acting.;1000
Canter+;SID_再移動＋;Unit can move 3 spaces after acting.;2000
Momentum;SID_助走;Grants Atk+1 to first attack during combat for each space unit moved before attacking. (Max +10);1000
Momentum+;SID_助走＋;Grants Atk+1 to first attack during combat for each space unit moved before attacking.;2000
Headlong Rush;SID_猛進;Grants immunity to freeze.;200
Gallop;SID_迅走;Grants Mov+5.;0
Gallop;SID_迅走_竜族;Grants Mov+5. [Dragon] Grants another Mov+1.;0
Gallop;SID_迅走_騎馬;Grants Mov+5. [Cavalry] Grants another Mov+2.;0
Gallop;SID_迅走_隠密;Grants Mov+5. [Covert] Unit does not pay extra movement cost on any terrain.;0
Dark Gallop;SID_迅走_闇;Grants Mov+3.;0
Override;SID_シグルドエンゲージ技;Use to attack and move through a line of adjacent foes. Sword/lance only.;0
Override;SID_シグルドエンゲージ技_竜族;Use to attack and move through a line of adjacent foes. Sword/lance only. [Dragon] +20% damage.;0
Override;SID_シグルドエンゲージ技_重装;Use to attack and move through a line of adjacent foes. Sword/lance only. [Armored] 10% chance of breaking target.;0
Override;SID_シグルドエンゲージ技_魔法;Use to attack and move through a line of adjacent foes. Sword/lance only. [Mystical] Deals extra damage=25% of Mag.;0
Override;SID_シグルドエンゲージ技_気功;Use to attack and move through a line of adjacent foes. Sword/lance only. [Qi Adept] 20% chance of breaking target.;0
Holy Stance;SID_異形リベンジ;If a Corrupted attacks unit, deals 10% of damage taken back to foe.;100
Holy Stance+;SID_異形リベンジ＋;If a Corrupted attacks unit, deals 30% of damage taken back to foe.;500
Holy Stance++;SID_異形リベンジ＋＋;If a Corrupted attacks unit, deals 50% of damage taken back to foe.;1000
Unholy Stance;SID_異形リベンジ＋＋_闇;If a non-Corrupted foe attacks unit, deals 50% of damage taken back to foe.;0
Resonance;SID_共鳴の黒魔法;When equipped with a tome, if unit's HP is 2 or more, unit loses 1 HP at start of combat and deals +2 damage during combat.;2000
Resonance+;SID_共鳴の黒魔法＋;When equipped with a tome, if unit's HP is 2 or more, unit loses 1 HP at start of combat and deals +3 damage during combat.;3000
Favorite Food;SID_大好物;When unit eats a packed lunch, its engage meter is maxed out.;200
Echo;SID_重唱;Use to attack with magic at 50% damage. Use a second time to launch another 50% attack.;0
Echo;SID_重唱_竜族;Use to attack with magic at 50% damage. Use a second time to launch another 50% attack. [Dragon] Range +1.;0
Echo;SID_重唱_魔法;Use to attack with magic at 50% damage. Use a second time to launch another 50% attack. [Mystical] +10% damage.;0
Echo;SID_重唱_発動演出;Use to attack with magic at 50% damage. Use a second time to launch another 50% attack.;0
Warp Ragnarok;SID_セリカエンゲージ技;Use to warp up to 10 spaces and make a powerful magic attack.;0
Warp Ragnarok;SID_セリカエンゲージ技_竜族;Use to warp up to 10 spaces and make a powerful magic attack. [Dragon] Attack range +1.;0
Warp Ragnarok;SID_セリカエンゲージ技_騎馬;Use to warp up to 10 spaces and make a powerful magic attack. [Cavalry] Warp distance +2.;0
Warp Ragnarok;SID_セリカエンゲージ技_飛行;Use to warp up to 10 spaces and make a powerful magic attack. [Flying] Warp distance +5.;0
Warp Ragnarok;SID_セリカエンゲージ技_魔法;Use to warp up to 10 spaces and make a powerful magic attack. [Mystical] +20% damage.;0
Dark Warp;SID_セリカエンゲージ技_闇;Use to warp up to 5 spaces and make a powerful magic attack.;0
Ragnarok Warp;SID_セリカエンゲージ技_闇_M020;Use to make a powerful magic attack, then warp somewhere else on the map.;0
Cleric;SID_杖使い;Unit can equip staves up to level C.;0
Cleric+;SID_杖使い＋;Unit can equip staves up to level B.;0
Cleric++;SID_杖使い＋＋;Unit can equip staves up to level A.;0
Silence Ward;SID_サイレス無効;Grants immunity to silence.;200
Healing Light;SID_癒しの響き;When unit heals an ally with a staff, unit also recovers HP=50% of the amount healed.;200
Augment;SID_増幅;Grants staff range +5 and area of effect +1.;0
Augment;SID_増幅_竜族;Grants staff range +5 and area of effect +1. [Dragon] Additional staff range +1.;0
Augment;SID_増幅_気功;Grants staff range +5 and area of effect +1. [Qi Adept] +20% to HP healed by staves.;0
Dark Augment;SID_増幅_闇;Grants staff range +3 and area of effect +1.;0
Great Sacrifice;SID_ミカヤエンゲージ技;Use to restore full HP to all allies, even those not under the player's control. After use, unit's HP=1.;0
Great Sacrifice;SID_ミカヤエンゲージ技_竜族;Use to restore full HP to all allies, even those not under the player's control. After use, unit's HP=1. [Dragon] Unit's HP=30% current.;0
Great Sacrifice;SID_ミカヤエンゲージ技_重装;Use to restore full HP to all allies, even those not under the player's control. After use, unit's HP=1. [Armored] Grants Def+1 to all healed during their next combat.;0
Great Sacrifice;SID_ミカヤエンゲージ技_気功;Use to restore full HP to all allies, even those not under the player's control. After use, unit's HP=1. [Qi Adept] Also cures status.;0
Hold Out;SID_踏ん張り;If unit had 30% HP or more at start of combat, unit always survives combat with at least 1 HP.;2000
Hold Out+;SID_踏ん張り＋;If unit had 20% HP or more at start of combat, unit always survives combat with at least 1 HP.;3000
Hold Out++;SID_踏ん張り＋＋;If unit had 10% HP or more at start of combat, unit always survives combat with at least 1 HP.;4000
Hold Out+++;SID_踏ん張り＋＋＋;If unit had 2 HP or more at start of combat, unit always survives combat with at least 1 HP.;5000
Hold Out;SID_踏ん張り_防御時効果;If unit had 30% HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out+;SID_踏ん張り＋_防御時効果;If unit had 20% HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out++;SID_踏ん張り＋＋_防御時効果;If unit had 10% HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out+++;SID_踏ん張り＋＋＋_防御時効果;If unit had 2 HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out;SID_踏ん張り_攻撃時効果;If unit had 30% HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out+;SID_踏ん張り＋_攻撃時効果;If unit had 20% HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out++;SID_踏ん張り＋＋_攻撃時効果;If unit had 10% HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Hold Out+++;SID_踏ん張り＋＋＋_攻撃時効果;If unit had 2 HP or more at start of combat, unit always survives combat with at least 1 HP.;0
Advance;SID_踏み込み;Use to move 1 space toward a foe that is 2 spaces away and attack.;500
Rise Above;SID_超越;Grants Lvl+5.;0
Rise Above;SID_超越_竜族;Grants Lvl+5. [Dragon] Additional Lvl+1.;0
Rise Above;SID_超越_騎馬;Grants Lvl+5. [Cavalry] Mov+1.;0
Rise Above;SID_超越_重装;Grants Lvl+5. [Armored] Max HP+5.;0
Sink Below;SID_超越_闇;Grants Lvl+3.;0
Blazing Lion;SID_ロイエンゲージ技;Use to attack adjacent foe and an area 3 spaces wide. Target area and the 2 rows beyond it are set on fire. Sword only.;0
Blazing Lion;SID_ロイエンゲージ技_竜族;Use to attack adjacent foe and an area 3 spaces wide. Target area and the 2 rows beyond it are set on fire. Sword only. [Dragon] Expands attack area.;0
Blazing Lion;SID_ロイエンゲージ技_魔法;Use to attack adjacent foe and an area 3 spaces wide. Target area and the 2 rows beyond it are set on fire. Sword only. [Mystical] Expands flame area.;0
Arms Shield;SID_武器相性激化;When unit has weapon advantage, unit takes 3 less damage.;200
Arms Shield+;SID_武器相性激化＋;When unit has weapon advantage, unit takes 5 less damage.;400
Arms Shield++;SID_武器相性激化＋＋;When unit has weapon advantage, unit takes 7 less damage.;600
Vantage;SID_待ち伏せ;If unit's HP is 25% or less and foe initiates combat, unit can counter before foe's first attack.;500
Vantage+;SID_待ち伏せ＋;If unit's HP is 50% or less and foe initiates combat, unit can counter before foe's first attack.;1000
Vantage++;SID_待ち伏せ＋＋;If unit's HP is 75% or less and foe initiates combat, unit can counter before foe's first attack.;2000
Adaptable;SID_順応;If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.).;0
Adaptable;SID_順応_竜族;If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.). [Dragon] Hit+30 during combat.;0
Adaptable;SID_順応_連携;If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.). [Backup] Crit+10 during combat.;0
Adaptable;SID_順応_隠密;If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.). [Covert] Avo+20 during combat.;0
Adaptable;SID_順応_重装;If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.). [Armored] Def+5 during combat.;0
Adaptable;SID_順応_飛行;If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.). [Flying] Res+5 during combat.;0
Quadruple Hit;SID_リーフエンゲージ技;Use to attack once each with sword, lance, axe, and bow.;0
Quadruple Hit;SID_リーフエンゲージ技_竜族;Use to attack once each with sword, lance, axe, and bow. [Dragon] +20% damage.;0
Quadruple Hit;SID_リーフエンゲージ技_隠密;Use to attack once each with sword, lance, axe, and bow. [Covert] Foes may drop 1,000G. Trigger %=Lck.;0
Quadruple Hit;SID_リーフエンゲージ技_気功;Use to attack once each with sword, lance, axe, and bow. [Qi Adept] Breaks foe.;0
